text,commit message for
Minor: improved performance and memory by using the static Boolean.TRUE and Boolean.FALSE constants instead of parsing the boolean value and passing for auto-boxing,improving non-functional requirements
CLOUDSTACK-4223: UI > Infrastructure > zone > USC > blades tab - fix a bug that blades failed to be listed in listView.,bug fixing
"Updating to use parent POM 1.14 (with hardcoding of maven-hpi-plugin 1.64) and to explicitly use maven-hpi-plugin 1.64, to fix requiredCore missing problem with plugins.",bug fixing
Improve generated HTML code to make it easier to write Selenium ITs,improving non-functional requirements
Add query validation feature,adding new features
removed recursive record search for improve performance.,improving non-functional requirements
CLOUDSTACK-5342: Fix for failure in adding network to VM,bug fixing
CORE-2528 Oracle: improve unique constraint snapshot query performance,improving non-functional requirements
pick up stapler 1.51 to fix a bug in StaplerRequest.getRestOfPath(),bug fixing
Distributed: series of fix to improve HA and performance,improving non-functional requirements
new UI - VM reset password - fix a bug that spinning wheel don't disappear after action succeeds when it's multiple selection in middle menu.,bug fixing
improved toJSON performance,improving non-functional requirements
#691 : Performance Enhancements,improving non-functional requirements
Mac compatibility. More lines in translation files. Added marking feature.,adding new features
"New feature: XMP privacy filter can be used to prevent sensible fields to be exported.
Some refactoring to the PrefsTab interface.",adding new features
HBASE-13071 Hbase Streaming Scan Feature,adding new features
HBASE-2180 Bad random read performance from synchronizing hfile.fddatainputstream -- putting this as improvement in CHANGES because thats what j-d wants though I think it a bug because our perf. was so bad,improving non-functional requirements
Remove alerting feature from embedded agent,adding new features
Change homeAsUp() to require handler implementation of an interface to match the other optional features. Update change log to reflect this as well as expand on the implementation requirements.,adding new features
bug 10135: Fix clustered agent manager's version bug,bug fixing
"bug 6943: Correct error message is returned for the parameter, ""name"" in the API as well as fixing JS to validate this as well.",bug fixing
refactoring in command arguments and command handlers with arguments and argument tab-completers to simplify the wiring between and remove duplicated code,commits that belong to no category
[WFLY-1889] The schema containing WildFly 8 specific features should be bumped to version 2.0 leaving the 1.x versions available for EAP 6,adding new features
"Add options for indices.get feature

As described here https://www.elastic.co/guide/en/elasticsearch/reference/current/indices-get-index.html?q=get%20index#_filtering_index_information",adding new features
HBASE-1485  Wrong or indeterminate behavior when there are duplicate versions of a column (pranav via jgray),commits that belong to no category
Merge pull request #9699 from hasancelik/enhancemnet/maintenance/nativeMemoryConfigXml,improving non-functional requirements
cloudstack UI - listView widget - basic search - fix a bug that happened on IE browser that clicking Enter key didn't do the searching.,bug fixing
improved toBytes & writeJSONString performance,improving non-functional requirements
CLOUDSTACK-3803: Fix duplicate label causing validation error,bug fixing
Minor refactor to avoid duplicate function calls,commits that belong to no category
[FIXED JENKINS-10490] fixed a build problem with JDK7,bug fixing
improved test performances for sq #3 (use MetaDataHandler for MySQL),improving non-functional requirements
"Performance enhancement to comparison of LocalDate, LocalTime and LocalDateTime",improving non-functional requirements
bug 10974: Fixed a bug in the search for listRouters API. The bug was introduced due to change in the VmInstancVO where the name field was changed to hostName. This went unnoticed in the DAO layer as we dont throw an exception but an assert error.,bug fixing
move elytron from servlet feature pack to core,adding new features
"CS-16544: Create Snapshot (2nd time - reccuring) is failing on XenServer 6.1. The issue is that while backing up a snapshot when cloudstack tries to update the parent (of the backed up vhd), vhd-util isn't present at the desired location and setParent function in vmopsSnapshot fails. This issue is observed only on Xenserver 6.1. The reason for this is, when to a Xenserver and executes the SetupCommand, it copies vhd-util tool to /opt/xensource/bin directory on the host. However, in vmopsSnapshot python file 'VHD_UTIL' is initialized to /usr/sbin/. The issue is not observed on 6.0.2 (and I guess previous versions) because vhd-util is present in /usr/sbin/ directory by default (after a clean install). Whereas, in Xenserver 6.1, vhd-util is present in '/usr/bin'. Fixed the issue by updating VHD_UTIL to point to /opt/xensource/bin/vhd-util in vmopsSnapshot file.",bug fixing
improved MATCHES operator performances storing the compiled pattern in a,improving non-functional requirements
HBASE-6634 REST API ScannerModel's protobuf converter code duplicates the setBatch call,commits that belong to no category
improve sql parser performance,improving non-functional requirements
"I have implemented 2 features requested in Ticket #841.

    The user can now specify an arbitrary number of file-link columns in te ""Entry table columns"" preferences tab, to be added to the main table. The user can any file types specified in the list of External File Types. The extra columns work exactly like the original file-link column.

    For each file-link column whenever there are multiple files, the letter ""m"" is displayed at the bottom right corner of the icon.

 Committer: noravanq

 On branch master
 Changes to be committed:
   (use ""git reset HEAD <file>..."" to unstage)

	modified:   src/main/java/net/sf/jabref/GUIGlobals.java
	modified:   src/main/java/net/sf/jabref/JabRefPreferences.java
	modified:   src/main/java/net/sf/jabref/TableColumnsTab.java
	modified:   src/main/java/net/sf/jabref/gui/MainTableFormat.java
	modified:   src/main/java/net/sf/jabref/gui/MainTableSelectionListener.java
	modified:   src/main/java/net/sf/jabref/gui/PreventDraggingJTableHeader.java",adding new features
